District Name;District ID;PO Group;Purchase Order Number;PO Start Date;PO Expiry Date;License Type;Total License Count;Redeemed Count;Product Titles;Number of Users Assigned
East Providence City School District;66023;Active PO;PO_241975_ReportersFrancophones;2024-08-15;2025-09-18;User;970;4;"Reporters francophones 3; Reporters francophones 1; Reporters francophones 2";132
East Providence City School District;66023;Expired PO;EASTPROVIDENCE_PILOT_MEDESPIERTOYBAILO_LV3TEACHERS;2024-04-26;2024-08-04;User;175;4;Me despierto y bailo;15
East Providence City School District;66023;Expired PO;EASTPROVIDENCE_PILOT_REPORTERFRANCOPHONES1;2024-04-24;2024-08-04;User;162;2;Reporters francophones 1;54
East Providence City School District;66023;Expired PO;EASTPROVIDENCE_PILOT_REPORTEROS1-3;2024-04-24;2024-08-04;User;1380;4;"Reporteros 1; Reporteros 2 ; Reporteros 3";194
East Providence City School District;66023;Expired PO;EASTPROVIDENCE_PILOT_TODOPARATODOS_LV2TEACHERS;2024-04-26;2024-08-04;User;432;4;Todo para todos;17
East Providence City School District;66023;Expired PO;EASTPROVIDENCE_PILOT_UNGOLFANTASTICO_LV1TEACHERS;2024-04-26;2024-08-04;User;740;4;Un gol fantástico;16
Wayzata School District 284;62963;Active PO;PO7050250013_WayzataSD_Reporteros;2024-08-04;2025-08-20;User;750;2;"Reporteros 1; Reporteros 2 ; Reporteros 3; Reporteros 4";432
Wayzata School District 284;62963;Expired PO;SO-16433-Wayzata-Pilot-Reporteros;2023-12-01;2024-08-06;User;645;2;"Reporteros 1; Reporteros 2 ; Reporteros 3";131
North Kitsap School District 400;60965;Active PO;KSO4355000002106727 Reporters francophones 1, 2;2023-08-25;2025-06-30;User;910;3;"Reporters francophones 1; Reporters francophones 2";155
North Kitsap School District 400;60965;Active PO;PO#1942425002_NorthKitsap_ReportersFrancophones3;;2025-09-07;User;;;;0
Redondo Beach Unified School District;60563;Active PO;PO1-240000000005_Mapas2_students;2023-08-14;2031-06-20;User;1150;4;Mapas 2;7
Redondo Beach Unified School District;60563;Active PO;PO1-240000000005_Mapas3_students;2023-08-14;2031-06-20;User;1150;2;Mapas 3;4
Redondo Beach Unified School District;60563;Active PO;PO1-240000000005_Mapas4_students;2023-08-14;2031-06-20;User;1150;2;Mapas 4;5
Elmbrook School District;61471;Active PO;PO#8210250014_ElmbrookWI_ReportersFrancophones1-2;;2031-09-01;User;;;;0
Elmbrook School District;61471;Active PO;PO#8210250014_ElmbrookWI_DefiFrancophone2;;2031-09-01;User;;;;0
Elmbrook School District;61471;Expired PO;ElmbrookPilot_Reportersfrancophones1-2;2023-09-14;2024-10-17;User;345;5;"Reporters francophones 1; Reporters francophones 2";151
Elmbrook School District;61471;Expired PO;ElmbrookSchoolsWI_Pilot_German_KlasseSeries;2024-10-10;2025-02-10;User;240;5;Klasse! A1;123
Elmbrook School District;61471;Expired PO;PO # SO-21947-ReporterosFrancophones(all);2024-01-29;2025-03-03;User;;;;0
School City Of Mishawaka;60585;Active PO;PO # 202500_Reporteros(All);;2025-10-03;User;;;;0
School City Of Mishawaka;60585;Active PO;PO # 202500_ReportersFrancophones(All);;2025-10-03;User;;;;0
School City Of Mishawaka;60585;Expired PO;PO 1946413 Reporteros 1;2023-08-16;2024-09-18;User;320;3;Reporteros 1;21
School City Of Mishawaka;60585;Expired PO;PO 1946413 Reporteros 2;2023-08-16;2024-09-18;User;145;2;Reporteros 2;13
School City Of Mishawaka;60585;Expired PO;PO 1946413 Reporters Francophones 1;2023-08-16;2024-09-18;User;150;2;Reporters francophones 1;31
School City Of Mishawaka;60585;Expired PO;PO 1946413 Reporters Francophones 2;2023-08-16;2024-09-18;User;150;2;Reporters francophones 2;39
Donegal School District;60708;Active PO;KSO4355000002106716 All PD Neu 1,2,3/4 all user;;2030-08-30;User;;;;0
