districtId,districtName,schoolId,schoolName,studentcount,teachercount,purchaseOrderNumber,startDate,expiryDate,totalLicenseCount,licenseConsumeCount,productTitles
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University of Kentucky (KY) _DEMO,2025-01-23,2026-08-01,3,2,"ID1 LERNEN (before-class), ID1 MACHEN (In-Class), ID1 MACHEN (In-Class) - Instructor's Edition, ID1 ZEIGEN (after-class), ID2 LERNEN (before-class), ID2 MACHEN (in-class), ID2 MACHEN (In-Class) - Instructor's Edition, ID2 ZEIGEN (after-class)"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University of Louisiana Lafayette,2025-04-10,2025-10-26,3,2,"Défi francophone 1, Défi francophone 2"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University of Louisville (KY) _DEMO,2025-03-11,2025-09-26,3,2,"ID1 LERNEN (before-class), ID1 MACHEN (In-Class), ID1 ZEIGEN (after-class)"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University of Oregon (OR) DEMO,2025-05-05,2026-07-01,3,3,"Défi francophone 1, Défi francophone 2"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University of Pennsylvania (PA)  DEMO,2025-06-27,2025-10-04,3,2,"ID1 LERNEN (before-class), ID1 MACHEN (In-Class), ID1 MACHEN (In-Class) - Instructor's Edition, ID1 ZEIGEN (after-class), ID2 LERNEN (before-class), ID2 MACHEN (in-class), ID2 MACHEN (In-Class) - Instructor's Edition, ID2 ZEIGEN (after-class)"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University of South Alabama (AL)_DEMO,2025-02-26,2025-09-13,3,2,"ID1 LERNEN (before-class), ID1 MACHEN (In-Class), ID1 ZEIGEN (after-class)"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University of Southern Indiana (IN) _DEMO,2025-03-05,2025-09-20,3,2,"ID1 LERNEN (before-class), ID1 MACHEN (In-Class), ID1 ZEIGEN (after-class), ID2 LERNEN (before-class), ID2 MACHEN (in-class), ID2 ZEIGEN (after-class)"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University of Southern Mississippi (MS)_DEMO,2025-02-13,2025-08-31,3,3,"24 horas en Barcelona, 24 horas en Bogotá, 24 horas en Buenos Aires, 24 horas en Ciudad de México, Aula en acción 1, Aula en acción 2, ID1 LERNEN (before-class), ID1 MACHEN (In-Class), ID1 ZEIGEN (after-class)"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University of Toronto Schools (ON) _DEMO,2025-04-17,2025-07-25,3,2,"Défi francophone 1, Défi francophone 2, Reporters francophones 1 - Canadian Edition, Reporters francophones 2 - Canadian Edition, Reporters francophones 3 - Canadian Edition, Reporters francophones 4"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University of Washington (WA) _DEMO,2025-01-12,2025-07-30,3,1,"Proyectos 1, Proyectos 2"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University Preparatory Academy (CA) ,2025-04-24,2025-08-01,3,2,"Mapas 1, Mapas 2, Mapas 3, Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University Schools (CO) DEMO,2025-06-15,2025-09-22,3,2,"Alba y Gael 1, Alba y Gael 2, Alba y Gael 3, Alba y Gael Inicial 1, Alba y Gael Inicial 2, Generación AP®, Mapas 1, Mapas 2, Mapas 3, Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University Toronto (ON) DEMO,2025-06-15,2025-09-22,3,3,Aula en acción 1
__NO_DISTRICT__,No Parent District,78351,University at Buffalo (NY),,,University_Buffalo_2025_2026_prof,2025-05-29,2026-07-31,1000,3,"ID1 LERNEN (before-class), ID1 MACHEN (In-Class), ID1 ZEIGEN (after-class)"
__NO_DISTRICT__,No Parent District,68724,University of Massachusetts Amherst,,,University_Massachusetts_Amherst_2025_2026_prof,2025-05-20,2026-07-31,1000,11,"ID1 MACHEN (In-Class) - ANNOTATED INSTRUCTOR'S EDITION, ID2 LERNEN (before-class), ID2 MACHEN (in-class), ID2 MACHEN (In-Class) - Instructor's Edition, ID2 ZEIGEN (after-class)"
__NO_DISTRICT__,No Parent District,68519,University of Alabama,,,University_of_Alabama_2025_2026_prof,2025-07-18,2026-06-01,1000,21,"Défi francophone 1, Défi francophone 2"
