districtId,districtName,schoolId,schoolName,studentcount,teachercount
68712,Lafayette Parish School District,71257,YOUNGSVILLE MIDDLE SCHOOL,39,1
68756,Sedro Woolley School District 101,68757,SEDRO-WOOLLEY HIGH SCHOOL,142,1
68783,South Western City Schools,68790,Central Crossing High School,323,4
68783,South Western City Schools,68784,Franklin Heights High School,297,3
68783,South Western City Schools,68785,Grove City High School,699,5
68783,South Western City Schools,68787,Westland High School,278,3
68936,Sioux City Community School District,68938,East High School,128,1
68936,Sioux City Community School District,68937,North High School,173,1
68936,Sioux City Community School District,68939,West High School,230,3
69084,Douglas USD #27,69085,Douglas High School,719,4
69092,Jefferson Co School District,69093,Charles Town Middle School,114,1
69092,Jefferson Co School District,69628,Harpers Ferry Middle School,94,1
69092,Jefferson Co School District,70529,Jefferson High School,358,3
69092,Jefferson Co School District,69629,Shepherdstown Middle School,119,1
69092,Jefferson Co School District,69094,Washington High School,526,4
69092,Jefferson Co School District,70528,Wildwood Middle School,80,1
69112,KWL School District,69115,KWL High School,,
69112,KWL School District,69116,KWL Middle School,7,8
69166,Medford Area Public School District,69167,MEDFORD AREA SENIOR HIGH,110,2
69246,Elmwood-Murdock Public Schools (NE),69336,Elmwood-Murdock High School,57,1
69250,Bellflower Unified School District,69251,Bellflower High School,841,5
69250,Bellflower Unified School District,69252,Mayfair High School,921,7
69253,Hesperia Unified School District,79337,Hesperia Community Day,1,
69253,Hesperia Unified School District,69254,Hesperia High School,323,3
69253,Hesperia Unified School District,79178,Hesperia Jr.,86,1
69253,Hesperia Unified School District,69256,Oak Hills High School,166,2
69253,Hesperia Unified School District,69255,Sultana High School,290,3
69331,Thompson School District - ClassLink,69351,Bill Reed Middle School,23,1
69331,Thompson School District - ClassLink,69349,Lucile Erwin Middle School,26,1
69616,Oak Grove School District 68,69617,Oak Grove School,92,1
69709,DeKalb County School District,79400,Ashford Park Elementary School,186,1
69709,DeKalb County School District,69713,Chamblee High School,243,2
69709,DeKalb County School District,69711,Chamblee Middle School,749,4
69709,DeKalb County School District,79398,Evansdale Elementary School,109,4
69709,DeKalb County School District,79401,GLOBE Academy Charter School,40,2
69709,DeKalb County School District,69710,Kittredge Magnet Elementary,699,1
69709,DeKalb County School District,79399,Rockbridge Elementary,88,6
69729,Portland Public Schools (OR),69746,Access,157,1
69729,Portland Public Schools (OR),69750,Astor K-8,26,1
